1girl,一人の女の子
highres,高解像度
solo,ソロ
long_hair,ロングヘア
breasts,胸
looking_at_viewer,カメラ目線
blush,赤面
smile,笑顔
open_mouth,口を開ける
short_hair,ショートヘア
simple_background,シンプルな背景
shirt,シャツ
absurdres,超解像度
blue_eyes,青い目
large_breasts,巨乳
long_sleeves,長袖
skirt,スカート
blonde_hair,金髪
multiple_girls,複数の女の子
black_hair,黒髪
white_background,白い背景
brown_hair,茶髪
hair_ornament,髪飾り
1boy,一人の男の子
holding,持っている
gloves,手袋
dress,ドレス
red_eyes,赤い目
hat,帽子
bow,蝶結びリボン
animal_ears,動物の耳
closed_mouth,口を閉じる
original,オリジナル
thighhighs,サイハイソックス
hair_between_eyes,目の間の髪
navel,へそ
ribbon,リボン
jewelry,ジュエリー
2girls,二人の女の子
cleavage,谷間
bare_shoulders,肩出し
very_long_hair,非常に長い髪
sitting,座っている
jacket,ジャケット
twintails,ツインテール
standing,立っている
touhou,東方
medium_breasts,中程度の胸
blue_hair,青髪
green_eyes,緑の目
brown_eyes,茶色の目
white_shirt,白いシャツ
nipples,乳首
purple_eyes,紫の目
full_body,全身
underwear,下着
school_uniform,制服
collarbone,鎖骨
tail,尻尾
upper_body,上半身
male_focus,男性中心
closed_eyes,目を閉じる
photoshop_(medium),フォトショップ(媒体)
white_hair,白髪
yellow_eyes,黄色の目
pink_hair,ピンク髪
multicolored_hair,多色髪
grey_hair,灰色の髪
swimsuit,水着
ahoge,アホ毛
panties,パンティ
purple_hair,紫髪
monochrome,モノクロ
braid,編み込み
short_sleeves,半袖
flower,花
sidelocks,サイドロック
hair_ribbon,ヘアリボン
ponytail,ポニーテール
weapon,武器
ass,お尻
heart,ハート
thighs,太もも
earrings,イヤリング
cowboy_shot,カウボーイショット
translated,翻訳済み
:d,舌を出した笑顔
hetero,異性愛
comic,コミック
outdoors,屋外
hair_bow,リボン
translation_request,翻訳リクエスト
pantyhose,パンティストッキング
sweat,汗
red_hair,赤髪
bikini,ビキニ
greyscale,グレースケール
pleated_skirt,プリーツスカート
kantai_collection,艦隊これくしょん
frills,フリル
nude,ヌード
open_clothes,服を開ける
small_breasts,貧乳
parted_lips,唇を開ける
teeth,歯
hairband,ヘアバンド
multiple_boys,複数の男の子
horns,角
censored,検閲済み
boots,ブーツ
collared_shirt,襟付きシャツ
lying,横たわっている
necktie,ネクタイ
shorts,ショートパンツ
food,食べ物
wings,翼
black_gloves,黒い手袋
sky,空
one_eye_closed,片目を閉じる
alternate_costume,別衣装
sleeveless,ノースリーブ
detached_sleeves,取り外し可能な袖
pants,パンツ
green_hair,緑髪
shoes,靴
penis,ペニス
choker,チョーカー
japanese_clothes,和服
virtual_youtuber,バーチャルユーチューバー
pointy_ears,尖った耳
socks,靴下
tongue,舌
medium_hair,ミディアムヘア
artist_name,アーティスト名
barefoot,裸足
glasses,メガネ
pussy,膣
indoors,屋内
solo_focus,ソロフォーカス
hand_up,手を上げる
puffy_sleeves,パフスリーブ
black_thighhighs,黒いサイハイソックス
belt,ベルト
day,昼
hairclip,ヘアクリップ
official_alternate_costume,公式別衣装
fate_(series),Fateシリーズ
fang,牙
serafuku,セーラー服
official_art,公式アート
elbow_gloves,肘までの手袋
bowtie,蝶ネクタイ
2boys,二人の男の子
midriff,腹部
white_gloves,白い手袋
black_skirt,黒いスカート
hood,フード
signature,サイン
cloud,雲
blunt_bangs,ぱっつん前髪
black_footwear,黒い靴
dark_skin,色黒
looking_back,振り返る
cat_ears,猫耳
hair_flower,ヘアフラワー
tongue_out,舌を出す
pink_eyes,ピンクの目
sailor_collar,セーラーカラー
sword,剣
stomach,腹
speech_bubble,吹き出し
sex,性交
white_dress,白いドレス
twitter_username,Twitterユーザー名
pokemon,ポケモン
halo,光輪
looking_at_another,別の人を見ている
grey_background,灰色の背景
holding_weapon,武器を持っている
fingerless_gloves,フィンガーレス手袋
miniskirt,ミニスカート
wide_sleeves,ワイドスリーブ
spread_legs,脚を開く
mole,ほくろ
on_back,仰向け
cum,精液
necklace,ネックレス
streaked_hair,メッシュ髪
hair_over_one_eye,片目を覆う髪
blue_archive,ブルーアーカイブ
hair_bun,お団子ヘア
3girls,三人の女の子
armpits,脇の下
chibi,ちび
off_shoulder,オフショルダー
open_jacket,ジャケットを開ける
kimono,着物
nail_polish,マニキュア
two-tone_hair,ツートンカラーの髪
english_text,英語のテキスト
fate/grand_order,Fate/Grand Order
orange_hair,オレンジ髪
star_(symbol),星(シンボル)
striped_clothes,縞模様の服
tears,涙
black_dress,黒いドレス
grin,ニヤリ
black_jacket,黒いジャケット
from_behind,後ろから
black_eyes,黒い目
rabbit_ears,うさみみ
idolmaster,アイドルマスター
sweatdrop,汗滴
blurry,ぼやけている
bag,バッグ
coat,コート
water,水
from_side,横から
genshin_impact,原神
yuri,百合
hololive,ホロライブ
vest,ベスト
cape,ケープ
white_thighhighs,白いサイハイソックス
black_shirt,黒いシャツ
armor,鎧
scarf,スカーフ
red_bow,赤いリボン
huge_breasts,巨大な胸
arm_up,腕を上げる
clothes_lift,服をめくる
leotard,レオタード
apron,エプロン
character_name,キャラクター名
bra,ブラジャー
feet,足
mosaic_censoring,モザイク処理
high_heels,ハイヒール
sweater,セーター
vaginal,膣
animal_ear_fluff,動物の耳の毛
blue_sky,青空
crop_top,クロップトップ
black_pantyhose,黒いパンティストッキング
parted_bangs,分かれた前髪
bracelet,ブレスレット
collar,襟
arms_up,両腕を上げる
:o,驚きの表情
dated,デート
white_panties,白いパンティ
completely_nude,完全に裸
grey_eyes,灰色の目
cup,カップ
commission,コミッション
red_ribbon,赤いリボン
hands_up,両手を上げる
twin_braids,ツインブレイド
fingernails,爪
looking_to_the_side,横を見る
dark-skinned_female,肌の黒い女性
side_ponytail,サイドポニーテール
aqua_eyes,アクアの目
puffy_short_sleeves,パフスリーブ
v-shaped_eyebrows,V字眉
flat_chest,貧乳
blue_skirt,青いスカート
two_side_up,両サイドアップ
neckerchief,ネッカチーフ
orange_eyes,オレンジの目
eyelashes,まつげ
tree,木
